,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
529,102298,Fort Valley State University,increase benefits,lt_improve_staff_faculty_support_gr,https://ag.fvsu.edu/news/thinking-ahead,timeout,No_meta_date,2020-11-05 12:20:51.481292,0,NoContext
506,102298,Fort Valley State University,cut faculty,lt_reduction_of_institution_faculty,https://ag.fvsu.edu/news/professor-puerto-rico-conducts-lecture-fort-valley-state-university,timeout,No_meta_date,2020-11-05 12:20:51.481259,0,NoContext
469,102298,Fort Valley State University,early retirement,st_voluntary_incentivized_staff_faculty_reduction,https://ag.fvsu.edu/news/retiree-leaves-university-good-standing,timeout,No_meta_date,2020-11-05 12:20:51.481204,0,NoContext
460,102298,Fort Valley State University,staff furlough,st_furlough_staff_faculty,https://www.gpb.org/news/2012/03/08/fort-valley-state-asks-for-furloughs,timeout,No_meta_date,2020-11-05 12:20:51.481230,0,NoContext
457,102298,Fort Valley State University,retirement incentives,st_voluntary_incentivized_staff_faculty_reduction,https://ag.fvsu.edu/news/sowing-seeds-to-reap-a-harvest,timeout,No_meta_date,2020-11-05 12:20:51.481190,0,NoContext
456,102298,Fort Valley State University,pay cuts,st_reduce_staff_and_faculty_support,https://ag.fvsu.edu/news/fvsu-celebrates-opening-renovated-cozy-ellison-agricultural-engineering-technology-building,timeout,['2020-05-29T13:37:53+00:00'],2020-11-05 12:20:51.481188,0,NoContext
455,102298,Fort Valley State University,vacancies open,st_reduce_hiring,https://ag.fvsu.edu/news/agriculture-degree-leads-rewarding-career,timeout,No_meta_date,2020-11-05 12:20:51.481183,0,NoContext
454,102298,Fort Valley State University,reduce benefits,st_reduce_staff_and_faculty_support,https://ag.fvsu.edu/news/horticulturalist-provides-tips-jumpstart-national-gardening-month,timeout,No_meta_date,2020-11-05 12:20:51.481181,0,NoContext
447,102298,Fort Valley State University,increase fees,st_change_tuition_(>),https://ag.fvsu.edu/news?ccm_paging_p_b248=3&ccm_order_by_b248=cv.cvdatepublic&ccm_order_by_direction_b248=desc,timeout,No_meta_date,2020-11-05 12:20:51.481173,0,NoContext
507,102298,Fort Valley State University,reduce faculty,lt_reduction_of_institution_faculty,https://ag.fvsu.edu/news?ccm_paging_p_b248=4&ccm_order_by_b248=cv.cvdatepublic&ccm_order_by_direction_b248=desc,timeout,No_meta_date,2020-11-05 12:20:51.481263,0,NoContext
505,102298,Fort Valley State University,staff cuts,lt_reduction_of_institution_staff,https://www.gpb.org/news/2012/10/11/fort-valley-state-laying-off-100,timeout,No_meta_date,2020-11-05 12:20:51.481313,0,NoContext
475,102298,Fort Valley State University,scholarship funding decrease,st_reduction_of_financial_aid,https://ag.fvsu.edu/news/national-science-foundation-offers-full-scholarships-fvsu-students,timeout,No_meta_date,2020-11-05 12:20:51.481213,0,NoContext
500,102298,Fort Valley State University,reduce degree programs,lt_reduction_or_elimination_of_academic_departments_programs,https://ag.fvsu.edu/news?ccm_paging_p_b248=5&ccm_order_by_b248=cv.cvdatepublic&ccm_order_by_direction_b248=desc,timeout,No_meta_date,2020-11-05 12:20:51.481249,0,NoContext
495,102298,Fort Valley State University,cut programs,lt_reduction_or_elimination_of_academic_departments_programs,https://ag.fvsu.edu/news/fort-valley-state-universitys-cooperative-extension-host-free-virtual-cattle-and-forestry-workshop,timeout,No_meta_date,2020-11-05 12:20:51.481245,0,NoContext
482,102298,Fort Valley State University,cut student programs,lt_reduction_or_elimination_of_student_support_programs,https://www.fvsu.edu/about-fort-valley-state-university/administration/office-of-academic-affairs/sponsored-programs/funding-announcements/,timeout,No_meta_date,2020-11-05 12:20:51.481254,0,NoContext
485,102298,Fort Valley State University,reduce international support,lt_reduction_or_elimination_of_student_support_programs,https://www.fvsu.edu/news/fvsu-students-organize-walk-support-breast-cancer-awareness/,timeout,No_meta_date,2020-11-05 12:20:51.481255,0,NoContext
141,102553,University of Missouri-Kansas City,no longer offer,lt_reduction_or_elimination_of_academic_departments_programs,https://www.umkc.edu/news/posts/2020/january/umkc-offers-test-optional-admissions.html,timeout,No_meta_date,2020-11-05 12:20:51.480916,0,NoContext
150,102553,University of Missouri-Kansas City,reduce faculty,lt_reduction_of_institution_faculty,"https://www.umkc.edu/news/posts/2020/may/faculty,-alumni-appointed-to-kc-health-commission.html",timeout,No_meta_date,2020-11-05 12:20:51.480925,0,NoContext
151,102553,University of Missouri-Kansas City,reduce faculty,lt_reduction_of_institution_faculty,https://info.umkc.edu/news/using-research-to-reduce-violent-crime/,timeout,['2020-05-04T20:41:36.859'],2020-11-05 12:20:51.480929,0,NoContext
144,102553,University of Missouri-Kansas City,layoff faculty,lt_reduction_of_institution_faculty,https://www.umkc.edu/news/posts/2019/september/cerner-to-lay-off-250-workers.html,timeout,['2020-04-14T22:23:21.985'],2020-11-05 12:20:51.480918,0,NoContext
153,102553,University of Missouri-Kansas City,sell buildings,lt_liquidate_fixed_assets,https://www.umkc.edu/news/posts/2020/july/campus-vending-machines-sell-personal-protective-equipment.html,timeout,No_meta_date,2020-11-05 12:20:51.480931,0,NoContext
161,102553,University of Missouri-Kansas City,close buildings,lt_liquidate_fixed_assets,https://www.umkc.edu/news/posts/2020/june/cleaning-on-campus.html,timeout,No_meta_date,2020-11-05 12:20:51.480939,0,NoContext
163,102553,University of Missouri-Kansas City,expand to minorities,st_expand_unconventional_programs_gr,https://www.umkc.edu/news/posts/2020/july/umkc-extends-operations-of-bk-mk-press.html,timeout,No_meta_date,2020-11-05 12:20:51.480942,0,NoContext
124,102553,University of Missouri-Kansas City,suspend appointments,lt_reduction_or_elimination_of_student_support_programs,https://info.umkc.edu/blochnews/2015/12/10/assistant-professor-receives-appointment-from-governor-nixon/,timeout,No_meta_date,2020-11-05 12:20:51.480875,0,NoContext
115,102553,University of Missouri-Kansas City,scholarship funding decrease,st_reduction_of_financial_aid,https://www.umkc.edu/news/posts/2019/june/why-pro-runner-sponsorships-decline-during-pregnancy.html,timeout,No_meta_date,2020-11-05 12:20:51.480855,0,NoContext
120,102553,University of Missouri-Kansas City,eliminate advising,lt_reduction_or_elimination_of_student_support_programs,https://www.kansascity.com/sports/college/umkc/article214714100.html,timeout,No_meta_date,2020-11-05 12:20:51.480881,0,NoContext
123,102553,University of Missouri-Kansas City,suspend appointments,lt_reduction_or_elimination_of_student_support_programs,https://career.missouri.edu/news-events/,timeout,No_meta_date,2020-11-05 12:20:51.480890,0,NoContext
130,102553,University of Missouri-Kansas City,reduced courses,lt_reduction_or_elimination_of_academic_departments_programs,https://info.umkc.edu/news/university-of-missouri-system-mcgraw-hill-education-expand-access-to-affordable-course-materials/,timeout,No_meta_date,2020-11-05 12:20:51.480901,0,NoContext
165,102553,University of Missouri-Kansas City,unconventional student programs,st_expand_unconventional_programs_gr,https://www.umkc.edu/news/posts/2020/february/nontraditional-engineering-student-gives-back-with-a-scholarship.html,timeout,No_meta_date,2020-11-05 12:20:51.480943,0,NoContext
201,102553,University of Missouri-Kansas City,building improvement,lt_improve_infrastructure_gr,https://www.umkc.edu/news/posts/2019/july/sunderland-foundation-commits-15-million-to-umkc.html,timeout,No_meta_date,2020-11-05 12:20:51.480973,0,NoContext
202,102553,University of Missouri-Kansas City,new building,lt_improve_infrastructure_gr,https://www.umkc.edu/history/,timeout,No_meta_date,2020-11-05 12:20:51.480974,0,NoContext
209,102553,University of Missouri-Kansas City,increase benefits,lt_improve_staff_faculty_support_gr,https://www.dol.gov/newsroom/releases/odep/odep20100930,timeout,No_meta_date,2020-11-05 12:20:51.480990,0,NoContext
213,102553,University of Missouri-Kansas City,food pantry,lt_improve_student_experience_gr,https://www.umkc.edu/news/posts/2020/september/kangaroo-pantry-aids-roos-in-need.html,timeout,No_meta_date,2020-11-05 12:20:51.480984,0,NoContext
217,102553,University of Missouri-Kansas City,faculty advancements,lt_improve_staff_faculty_support_gr,https://www.umkc.edu/news/posts/2018/november/wai-yim-ching-honored-as-fellow-of-the-american-association-for-the-advancement-of-science.html,timeout,No_meta_date,2020-11-05 12:20:51.480985,0,NoContext
219,102553,University of Missouri-Kansas City,staff support programs,lt_improve_staff_faculty_support_gr,https://sbdc.missouri.edu/news/university-of-missouri-extension-business-development-program-celebrates-performance-of-statewide-staff-and-teams-4290,timeout,No_meta_date,2020-11-05 12:20:51.480994,0,NoContext
172,102553,University of Missouri-Kansas City,increase athletics spending,st_expand_athletic_spending_programs_gr,https://www.umkc.edu/news/posts/2018/november/introducing-dr-brandon-martin.html,timeout,No_meta_date,2020-11-05 12:20:51.480949,0,NoContext
111,102553,University of Missouri-Kansas City,cut student programs,lt_reduction_or_elimination_of_student_support_programs,https://cas.umkc.edu/history/,timeout,No_meta_date,2020-11-05 12:20:51.480853,0,NoContext
48,102553,University of Missouri-Kansas City,pay cuts,st_reduce_staff_and_faculty_support,https://www.umkc.edu/news/budget.html,timeout,No_meta_date,2020-11-05 12:20:51.480844,0,NoContext
1,102553,University of Missouri-Kansas City,freeze tuition,st_change_tuition_(<=),https://info.umkc.edu/news/university-of-missouri-curators-freeze-tuition-for-in-state-students/,timeout,No_meta_date,2020-11-05 12:20:51.480843,0,NoContext
19,102553,University of Missouri-Kansas City,hiring chill,st_reduce_hiring,N,timeout,No_meta_date,2020-11-05 12:20:51.480796,0,NoContext
110,102553,University of Missouri-Kansas City,cut travel,st_reduce_operational_spending,https://info.umkc.edu/unews/costly-wac-membership-puts-a-strain-on-umkcs-budget/,timeout,No_meta_date,2020-11-05 12:20:51.480852,0,NoContext
98,102553,University of Missouri-Kansas City,deferred capital projects,st_deferred_infrastructure_improvement,https://www.insidehighered.com/news/2012/04/10/public-universities-will-take-more-debt-states-decrease-spending-capital-projects,timeout,No_meta_date,2020-11-05 12:20:51.480850,0,NoContext
103,102553,University of Missouri-Kansas City,stop scholarships,st_reduction_of_financial_aid,https://www.umkc.edu/news/posts/2018/november/surprise-scholarships-delivered-to-42-high-schools.html,timeout,No_meta_date,2020-11-05 12:20:51.480847,0,NoContext
222,102553,University of Missouri-Kansas City,share resources,lt_inter_institutional_collaboration_co,https://www.umkc.edu/news/posts/2020/september/alumni-reflect-on-hispanic-heritage-month.html,timeout,No_meta_date,2020-11-05 12:20:51.480986,0,NoContext
223,102553,University of Missouri-Kansas City,consolidate campuses,lt_inter_institutional_collaboration_co,"https://www.umkc.edu/news/posts/2020/july/curators-combine-roles-of-president,-mizzou-chancellor.html",timeout,No_meta_date,2020-11-05 12:20:51.480988,0,NoContext
385,102632,University of Wisconsin-Stout,add new athletic programs,st_expand_athletic_spending_programs_gr,https://www.uwstout.edu/about-us/mission-values/our-rich-history,timeout,No_meta_date,2020-11-05 12:20:51.481171,0,NoContext
362,102632,University of Wisconsin-Stout,close buildings,lt_liquidate_fixed_assets,https://www.uwstout.edu/about-us/news-center/work-close-wrapping-two-three-building-renovations,timeout,['2019-08-12T16:15:12-05:00'],2020-11-05 12:20:51.481137,0,NoContext
369,102632,University of Wisconsin-Stout,eliminate administrative departments,lt_reduction_or_elimination_of_administrative_departments,https://www.wisconsin.edu/all-in-wisconsin/story/uw-stout-uw-eau-claire-collaborate-on-printing-services/,timeout,No_meta_date,2020-11-05 12:20:51.481152,0,NoContext
418,102632,University of Wisconsin-Stout,tenure,lt_improve_staff_faculty_support_gr,https://www.uwstout.edu/about-us/news-center/board-regents-approves-promotions-tenure-28-faculty,timeout,No_meta_date,2020-11-05 12:20:51.481184,0,NoContext
355,102632,University of Wisconsin-Stout,suspend appointments,lt_reduction_or_elimination_of_student_support_programs,https://www.wisconsin.edu/news/archive/2005/,timeout,No_meta_date,2020-11-05 12:20:51.481113,0,NoContext
303,102632,University of Wisconsin-Stout,retirement incentives,st_voluntary_incentivized_staff_faculty_reduction,https://www.uwstout.edu/about-us/alumni-association/alumni-news-and-stories,timeout,No_meta_date,2020-11-05 12:20:51.481058,0,NoContext
345,102632,University of Wisconsin-Stout,cut student programs,lt_reduction_or_elimination_of_student_support_programs,https://www.uwstout.edu/about-us/news-center/new-software-gives-students-latest-color-management-technologies,timeout,No_meta_date,2020-11-05 12:20:51.481092,0,NoContext
324,102632,University of Wisconsin-Stout,early retirement,st_voluntary_incentivized_staff_faculty_reduction,https://www.uwstout.edu/about-us/news-center/naming-chancellor-tops-list-2019-university-news,timeout,['2020-03-04T05:00:00-06:00'],2020-11-05 12:20:51.481079,0,NoContext
329,102632,University of Wisconsin-Stout,streamline operations,st_reduce_operational_spending,https://www.uwstout.edu/about-us/news-center/bending-branches-llc-weighs-potential-technology-solutions,timeout,No_meta_date,2020-11-05 12:20:51.481083,0,NoContext
