,RowsPerMinute
0,67.93664025777554
1,109.65847069242929
2,113.04773574274326
3,123.56676695550343
4,104.52922145081227
5,105.48937882001358
6,109.34069203244628
7,118.75112962353785
8,101.15009770354794
9,110.47824031858836
10,107.79565216307752
11,110.10413465442788
12,109.61912450578437
13,113.90794563298847
14,113.89523429788478
15,107.62123560385916
16,101.2817323861229
17,42.52549629686281
18,43.28983734460077
19,45.52570231571025
20,46.17156378516525
21,48.26333429985
22,48.06960304097854
23,48.560287780054516
24,49.68849461814039
25,51.140628926106096
26,52.326879147140666
27,53.130386757127866
28,53.92322810291551
29,55.45389945122432
30,55.87635355285038
31,57.4756300080251
32,45.371107427239444
33,46.62851688064417
34,46.688653229706155
35,47.29379105677021
36,48.04766564400026
37,49.20287058401317
38,49.8438402393852
39,51.05031257127095
40,51.693525561973445
41,52.660962865551056
42,52.50097477755804
43,53.45485480148645
44,53.88968296367958
45,54.751033396903864
46,54.85078718553502
47,52.885873428222546
48,52.70230253337021
49,53.06356933844452
50,53.840169109375665
51,54.15163355802562
52,54.90759340506617
53,55.24893268784513
54,55.76334681000879
55,55.914860478433425
56,56.59052602155989
57,56.78104690719609
58,57.54291091214676
59,57.792540814116414
60,57.93580551518992
61,57.98967316599491
62,58.86239799465682
63,57.53190008461228
64,56.25971697198848
65,56.46534031693813
66,56.48583808580994
67,56.51674566354422
68,56.32153928379701
69,56.50351903106962
70,57.10688152038706
71,57.264154452752564
72,57.959509001266
73,58.02533604395846
74,58.37746792609232
75,58.03596918306459
76,58.41412662381643
77,58.28199079447765
78,58.328789111973556
79,58.34334677887062
80,58.4823872965146
81,58.63104143902634
82,58.016199234992705
83,58.17575423403488
84,58.654206638402954
85,58.89240450307825
86,59.357063749136294
87,59.19796703670037
88,59.26713697356874
