,RowsPerMinute
0,51.53509555131429
1,87.80722888203233
2,95.8555156348755
3,108.65312529952568
4,110.02564193367724
5,122.80674369862379
6,117.21297036772414
7,127.30001599101922
8,125.32601958205777
9,133.42394447964244
10,132.41711208459418
11,134.9517033240388
12,126.83539298164158
13,130.08190154454232
14,125.56348208275513
15,128.29219789831862
16,122.99758181627963
17,125.29598211565393
18,122.99358700510422
19,125.16279085034998
20,122.70918349825946
21,124.7089867156155
22,122.67176998317458
23,123.9802083191781
24,118.72073274763777
25,121.44093360333346
26,117.90712990328532
27,120.86615909985156
28,117.4453920585321
29,120.10759837563272
30,116.8898026626296
31,119.44419509139412
32,115.85974850826452
33,118.08563535923038
34,115.12132385808457
35,117.26248626488018
