,RowsPerMinute
0,60.12435406960339
1,96.4057666880618
2,100.85232014189796
3,113.19127203101066
4,112.53302768637704
5,125.7173782036733
6,123.07825936408305
7,130.52619485875113
8,125.58881974772603
9,133.6079413556528
10,132.94214090661157
11,135.38603729597773
12,115.548078604804
13,122.61087784683542
14,119.3423765109646
15,119.42195662601549
16,116.98523574102754
17,118.19053160384965
18,116.69022415718365
19,121.48814801594601
20,119.02301556539852
21,123.36515614752611
22,117.01474046946201
23,120.96153460626113
24,120.71225081447044
25,122.65537674535526
26,122.64776895550688
27,117.82368363779305
28,112.73501810633546
29,108.83438010210861
30,107.71903344341398
31,106.81523029075947
32,103.91419978311485
33,105.30606422327875
34,104.39538431850902
35,104.62266358138848
36,104.61965504931118
37,104.58881521851927
38,102.77910555584721
39,105.11763937081635
40,103.64395804132442
41,105.88700923803927
42,104.3181563953232
43,106.46000687369913
44,104.77340766326842
45,106.80398015883416
46,105.74302551673514
47,106.67966254615344
48,103.75054580506065
49,99.83774599815344
50,97.44850097718343
51,98.29264719924848
52,97.79400456580332
53,99.03773780505055
54,95.12076278171502
55,96.04440801121146
56,95.93814557025026
57,96.25499660242407
58,96.30614706298076
59,96.31638604842084
60,96.56313243436367
61,97.53477132520455
62,97.08547532502725
63,97.60450005800479
64,97.61594257727069
65,98.92640370472459
66,99.23098316529584
67,99.88296547769163
68,99.17146235608536
69,100.2835722536615
70,99.93318013070558
71,101.03849523501987
72,100.62255605288283
73,101.20066873987906
74,100.9437342873408
75,101.56220052849817
76,101.14225121981774
77,101.78700254351672
78,101.52805022384894
79,102.16543172299676
80,101.84909379976804
81,102.43443553457756
82,102.27010171858507
83,102.84506013602356
84,102.71474508448738
85,103.48239240759216
86,103.31223682358902
87,104.10405009645011
88,103.54301187135435
89,103.07683781477762
90,103.35283211823895
91,101.85524088597455
92,100.40243370671357
93,99.70805253993315
94,100.65006776722252
95,100.68233181568044
96,101.03025362060006
97,100.44124969229483
98,99.14768281710252
99,99.15774111573948
100,98.06832182513654
101,96.95810111636365
102,95.09449887508
103,92.7732843432547
104,92.52386521914161
105,93.22560751307485
106,93.03375674164363
107,93.29681208003224
108,93.78521915144069
109,93.70647909738732
110,94.37335809070406
111,93.95082266241944
112,94.01291457272124
113,94.28614199963765
114,94.08238316345913
115,93.88276391786749
116,94.53075081590828
117,94.97333972866483
118,94.54245094334756
119,94.99490007776834
120,94.820255145898
121,95.43873530617746
122,95.34161899835735
123,95.42267843324979
124,95.2825394734565
125,95.27539554683034
126,94.9620183080384
127,94.92463360379168
128,95.20650871498634
129,94.98575883928721
130,95.52824045290018
131,95.14845606213646
132,95.50895614394376
133,95.202241279096
134,95.73496536352863
135,95.48461440058001
136,96.01044058847953
137,95.71132465089758
138,96.22487785480786
139,95.80250356296281
140,96.30718537404313
141,96.01423646846744
142,96.49965954617745
143,96.24874690749249
144,96.61469127846208
145,96.09749627462558
146,95.55415303518882
147,94.25437403381008
148,94.49247820945688
149,94.01728620293426
150,94.40400626438279
151,94.02071423649275
152,93.33598021602315
153,93.37627900696246
154,92.91013023743503
155,92.56195380324276
156,92.82967984332527
157,92.63792744980366
158,92.90725513404824
159,92.5300647123295
160,92.07614245743017
161,91.84382466257692
162,91.63293077428993
163,91.63240750526684
164,91.83000791332229
165,91.82928520583067
166,91.82857388578157
167,91.82785988790513
168,91.70255834516257
169,91.76032397462153
170,91.8513508391774
171,91.54667908283687
172,91.58730492986061
173,91.30376902809263
174,91.62248295107695
175,91.92713978361725
176,91.70138506224662
177,91.58027391747757
178,90.97409639297783
179,91.1929316418074
180,91.19235581960486
181,91.19179348838387
182,91.19123667146198
183,91.19067986133987
184,91.19012229839957
185,91.18956474227737
186,91.18900966167101
187,91.18845610700252
188,91.18790084999758
189,91.18733933328912
190,91.18680023058559
191,91.18626094436803
192,91.18568995355416
193,91.1851037792029
194,91.18454704397246
195,91.18399677142452
196,90.77670635347603
197,90.37153593863513
198,90.35520539660209
199,90.74064460649987
200,84.87331054315217
201,84.9765022536523
202,84.79938136222952
203,83.45344344029826
204,83.19012084389699
205,83.32931413092193
206,83.10352094600863
207,83.25870773213988
208,83.07786520726431
209,83.23514779118182
210,83.17298402618319
211,83.28846785484731
212,83.07619956234888
213,83.36360885721005
214,83.14072526471928
215,83.19829995352578
216,82.90677511020841
217,83.09188927673308
