,RowsPerMinute
0,44.995352211869765
1,74.21223118483697
2,80.84535158464872
3,77.9606061676236
4,83.10668336165219
5,94.56356763337668
6,94.79663557358468
7,102.37931667857629
8,100.91995563116117
9,108.2475804565253
10,108.10295301987739
11,103.51014234560739
12,94.25355269764862
13,100.2337000890583
14,95.57706439256361
15,95.51661030563058
16,94.62569569356758
17,73.09087573465446
18,72.57176717922314
19,75.88379488206873
20,76.05888435654548
21,78.37246099758961
22,77.08050277169507
23,79.92557673924804
24,80.72689537817423
25,82.59437805045074
26,82.59080105505855
27,78.77395838877597
28,74.72696651834175
29,72.47962414340542
30,71.93574685940642
31,72.59821385291212
32,71.92480959658182
33,72.6211248555552
34,72.99988859394657
35,73.15799876070491
36,73.15656901805069
37,72.81619932091075
38,72.35646176353075
39,73.11849965540384
40,72.83815218433682
41,74.49356450624717
42,74.17170772011069
43,75.77680261485037
44,75.35458935922428
45,76.89818359945441
46,75.5353187196601
47,75.76356483954781
48,75.00002159083765
49,73.11393974285996
50,72.31719099372931
51,73.16243040653501
52,73.2235412022923
53,74.41453628637312
54,72.23841244292905
55,72.98099250319943
56,72.07653312518218
57,71.93849530487593
58,72.47618511713522
59,72.67639440331267
60,73.0431233934474
61,69.99626986195597
62,70.1998195977235
63,70.67986844116857
64,70.91877361298498
65,71.91967569010627
66,72.3438722771698
67,72.43718214723471
68,72.38104703476637
69,73.2772162074824
70,73.28574300711479
71,74.1587114788092
72,73.93859339381893
73,73.81289504104213
74,73.29826655571824
75,73.38516212121787
76,72.52901742985406
77,73.11802836937379
78,73.25835972852305
79,73.83986223269842
80,73.98667973371377
81,74.56099512811404
82,74.53965891660091
83,75.10107251161578
84,75.22895782466023
85,75.49158257810772
86,75.58436146995362
87,76.03218781087453
88,74.65318336725663
89,74.58982696203005
90,74.47988257059417
91,73.9686620502754
92,74.13074664095305
93,73.6426183224455
94,74.31523597939848
95,74.48750518846671
96,74.8302761990078
97,74.81595754433765
98,74.4155511299404
99,74.88117297392048
100,75.64399005347354
101,76.40695769428045
102,77.16841910928021
103,77.93137023234743
104,77.91476971189846
105,77.89537073620471
106,76.53020979065091
107,76.06746134722282
108,75.94931398860169
109,76.38764609752971
110,76.3486970722362
111,76.49231371712666
112,76.84557009779243
113,77.53668977960017
114,78.22791577299411
115,78.91918458540354
116,79.6104608253779
117,79.65409262156778
118,80.24056242099603
119,80.01216081866278
120,79.98036372479005
121,80.25451994705585
122,80.06891849478617
123,79.86394058421216
124,80.41361085904146
125,80.81127213806975
126,81.46179648736711
127,82.11246955648173
128,82.76317251847009
129,83.41385893889554
130,83.18957496119715
131,83.58453080230865
132,83.43370563255289
133,83.94570688998489
134,83.74215954927007
135,83.85291200151673
136,83.61721184900217
137,83.70191670413753
138,83.56849916686805
139,83.68971199610522
140,83.90398676068526
141,83.56294487758986
142,83.9812971211116
143,83.28770592862037
144,83.65472962772493
145,83.46672962565913
146,83.91592918537651
147,83.71673480714018
148,84.15295382356773
149,84.0136564402841
150,84.44493830191574
151,84.19570239861001
152,84.61997729473603
153,84.44681127141119
154,84.871452728397
155,84.7706164283147
156,85.04612413052133
157,84.66408815557989
158,84.05967679635397
159,83.27626460469044
160,82.9793706791826
161,82.59328024949738
162,82.90420668857087
163,82.66970483915584
164,82.45242936357184
165,82.46123038886134
166,82.09323960402533
167,81.72552718222123
168,81.89814587158978
169,81.81983690445918
170,81.96061705158424
171,81.54760473693983
172,81.11403443678334
173,80.2941134962217
174,80.22084315673106
175,80.22046800515679
176,80.42632175296211
177,80.42570887199311
178,80.42517428906181
179,80.4246476897239
180,80.03951419454431
181,77.17710630595128
182,77.12195233384833
183,76.95540053691253
184,76.68251993606444
185,76.4843383272069
186,76.74695305896458
187,77.01563729130416
188,77.43805948801084
189,77.86059627645652
190,78.28314368905929
191,78.70568467050242
192,78.68484392735014
193,78.75027720745582
194,78.34609368434394
195,78.56332590702391
196,78.56293013514924
197,78.56255334234375
198,78.56218249087804
199,78.56180673788211
200,78.5614353771508
201,78.56106440716232
202,78.56069369882948
203,78.56032338121986
204,78.55995409969081
205,78.55958275647406
206,78.55921128769664
207,78.55883504684186
208,78.55836846155954
209,78.55797325589927
210,78.55760141514486
211,78.55723267546405
212,78.32453779694197
213,78.01753706628392
214,78.07466411369425
215,78.24948120611823
216,75.11052855667437
217,75.18705900459699
218,75.14038665060343
219,75.09423563841378
220,74.89083146460507
221,75.07151591839298
222,74.96799131581784
223,75.20353158812308
224,75.04364592096609
225,75.12688345774258
226,74.7445658318487
227,74.57007943337254
228,74.20404822839762
229,73.42913842152943
230,73.21574873167373
231,73.30549120207553
232,73.22639287120292
233,73.39724810589827
