,RowsPerMinute
0,56.62028147896827
1,95.35593710995904
2,96.5801573708031
3,109.47891006687935
4,109.91914775593638
5,122.84430037462258
6,120.09635481609781
7,130.20989351945002
8,126.86726780426073
9,134.81001490173736
10,133.03716426715172
11,135.37234581189884
12,114.4175693075429
13,121.40220172160059
14,117.66105797882766
15,118.21015070889713
16,115.22967124318404
17,116.57107741273539
18,114.73797376591757
19,119.49466026166503
20,115.97559335352672
21,120.22118688602492
22,115.08424448776061
23,118.9776553860319
24,118.27878211576211
25,120.15762245216986
26,120.15018014499962
27,115.68365686598342
28,111.52157327031489
29,107.81165642525043
30,106.37501446502066
31,105.45623849644225
32,102.44860248451353
33,102.1454110569216
34,101.22131122620574
35,101.506002311395
36,101.5032639299341
37,101.1071327209808
38,99.80281768490833
39,101.95217105373837
40,100.379134509793
41,102.31335670655206
42,101.29792701863552
43,103.39119488754213
44,102.37023733523453
45,104.39124594847371
46,103.64896667443716
47,104.62083754824374
48,101.7977377871738
49,102.09964831663528
50,100.07398765387845
51,100.8977347117393
52,100.59267205459635
53,102.10880957360978
54,97.99712699490007
55,98.94584532215123
56,96.07003396412104
57,96.21971689672938
58,95.92571028863605
59,95.91761710265706
60,96.13622051908473
61,97.1329328573523
62,96.63851113080318
63,97.25855873224018
64,97.03430836136616
65,98.3471487310317
66,98.3016901465837
67,98.43494947676308
68,97.60312511494101
69,98.59914778098941
70,98.44202894381002
71,99.55432847770176
72,99.08616083695841
73,99.6765266280647
74,99.31739724361181
75,99.98175120720866
76,99.60568128245203
77,100.2570055403845
78,100.08334447354123
79,100.72043082654518
80,100.1959445727411
81,100.82050894832093
82,100.48563590704028
83,101.0779864361666
84,100.86016337315054
85,101.16055891654236
86,100.72495152032474
87,101.00863041315509
88,100.2579165972004
89,99.47150126687352
90,100.20781298316898
91,98.4905399712672
92,98.59302577671063
93,98.01681680287798
94,98.71058370334453
95,98.63090546348943
96,98.9850095394382
97,98.42776723014065
98,97.17019034213739
99,97.54961192768852
100,97.23399596503846
101,97.94850165242255
102,95.69822930196551
103,93.32890492787483
104,92.99059071844455
105,93.69553828469714
106,93.18777154653299
107,93.53283710509034
108,93.99519204166181
109,93.76654375110239
110,94.37160288052534
111,93.97557511464177
112,93.8672057791849
113,94.18900673357435
114,93.95135126989935
115,93.65972416695716
116,94.36725672594318
117,94.73408097338405
118,94.04277979221953
119,94.4670137150401
120,94.11238234420411
121,94.72821316240463
122,94.54484084547907
123,94.46979142913169
124,94.1036706466875
125,94.24431139095354
126,93.95157216328786
127,93.89271164023694
128,94.19178600416993
129,93.9357329936222
130,94.42409632612289
131,93.94974628368473
132,94.38948326780181
133,93.95513669054932
134,94.47873638571829
135,94.0940336852927
136,94.61457922217828
137,94.34586314996288
138,94.85607968093856
139,94.54281528633904
140,95.04749012655193
141,94.68797762535422
142,95.18510661394714
143,93.58784531047978
144,93.94916369800342
145,93.3522734539772
146,92.76753881648784
147,92.43219556341649
148,92.75995034289157
149,92.39588547262447
150,92.7431717916444
151,92.34801975657186
152,91.93824411562873
153,92.00274606125569
154,91.60350702845464
155,91.24409184826547
156,91.52714066908295
157,91.32867608642384
158,91.51975988240581
159,91.17995008717773
160,91.01746288830607
161,90.9220449425345
162,90.70338896796366
163,90.70287646439523
164,90.79612750391065
165,90.79541248534447
166,90.79470273540527
167,90.79400209570798
168,90.7739780853311
169,90.83000748807055
170,90.92940941286034
171,90.61647237083078
172,90.59744876902724
173,90.29241132200788
174,90.64196458963228
175,90.9310497297542
176,90.81899053457155
177,90.82097098127284
178,90.25892795347868
179,90.52186321938608
180,90.52127151390467
181,90.52068692696487
182,90.52012236985614
183,90.51955987812951
184,90.51899383812298
185,90.51842649537552
186,90.51785429475524
187,90.5173058646522
188,90.51675482165142
189,90.51620546933142
190,90.51565612367952
191,90.51510902993668
192,90.51455352325537
193,90.51400026857866
194,90.51345169807949
195,90.51290406970124
196,89.93158300866298
197,89.57334622132554
198,89.59660878242956
199,89.99791130080771
200,85.81760038361209
201,86.02805608622263
202,86.01005993951655
203,84.78468162863871
204,84.57149188969329
205,84.69717203427665
206,84.4308918557736
207,84.69795329381702
208,84.53261800985756
209,84.70615770965468
210,84.73489831920666
211,84.8474775389702
212,84.61205154996371
213,84.88475518691813
214,84.59484365229507
215,84.52265321331673
216,84.25294468536433
217,84.28166387287631
