,unit_ID,school,term,url,count,context
499,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://greatvalley.psu.edu/news?page=24,1,"te, effective july 1, 2016.  05/23/16  read more            penn state announces fixed-term faculty promotions, effective july 1, 2016    following is a list of fixed-term faculty promotions at penn s"
500,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://greatvalley.psu.edu/news?page=24,1," fixed-term faculty promotions, effective july 1, 2016    following is a list of fixed-term faculty promotions at penn state, effective july 1, 2016.  05/23/16  read more            penn state brandyw"
501,100663,Pennsylvania State University-Penn State Brandywine,staff support programs,https://www.brandywine.psu.edu/student-life/student-affairs-staff,0,NoContext
502,100663,Pennsylvania State University-Penn State Brandywine,staff support programs,http://brandywine.psu.edu/writing-studio-staff,0,NoContext
476,100663,Pennsylvania State University-Penn State Brandywine,increase pay,https://www.brandywine.psu.edu/student-life/student-initiated-fee,0,NoContext
504,100663,Pennsylvania State University-Penn State Brandywine,staff support programs,https://www.brandywine.psu.edu/student-life/clubs-organizations,0,NoContext
505,100663,Pennsylvania State University-Penn State Brandywine,staff support programs,https://www.brandywine.psu.edu/admission-staff,0,NoContext
506,100663,Pennsylvania State University-Penn State Brandywine,salary increase,https://www.brandywine.psu.edu/acs-interviewing,0,NoContext
507,100663,Pennsylvania State University-Penn State Brandywine,offer scholarship,https://www.brandywine.psu.edu/scholarships,0,NoContext
508,100663,Pennsylvania State University-Penn State Brandywine,offer scholarship,https://www.brandywine.psu.edu/academics/global-programs/scholarship-opportunities,0,NoContext
509,100663,Pennsylvania State University-Penn State Brandywine,new scholarships,https://www.brandywine.psu.edu/tuition-financial-aid/scholarships,0,NoContext
510,100663,Pennsylvania State University-Penn State Brandywine,new scholarships,https://studentaid.psu.edu/,0,NoContext
511,100663,Pennsylvania State University-Penn State Brandywine,new scholarships,http://tuition.psu.edu/costestimate.aspx,0,NoContext
496,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,"y 1, 2014    topics academics faculty achievement tags promotion and tenure , promotions , academic promotions , academic rank               penn state brandywine  25 yearsley mill road  media,  pa  1"
495,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,"ic rank, effective july 1, 2014    topics academics faculty achievement tags promotion and tenure , promotions , academic promotions , academic rank               penn state brandywine  25 yearsley mi"
503,100663,Pennsylvania State University-Penn State Brandywine,staff support programs,http://brandywine.psu.edu/sites/default/files/campus/anticipating_and_aiding_guide.docx,0,NoContext
493,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,"n state promotions in academic rank, effective july 1, 2017 penn state announces fixed-term faculty promotions, effective july 1, 2018 promotions in academic rank, effective july 1, 2014    topics aca"
494,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,", effective july 1, 2017 penn state announces fixed-term faculty promotions, effective july 1, 2018 promotions in academic rank, effective july 1, 2014    topics academics faculty achievement tags pro"
478,100663,Pennsylvania State University-Penn State Brandywine,increase pay,https://www.brandywine.psu.edu/gala/student-retention-fund,0,NoContext
479,100663,Pennsylvania State University-Penn State Brandywine,increase benefits,https://www.brandywine.psu.edu/continuing-education,0,NoContext
480,100663,Pennsylvania State University-Penn State Brandywine,increase benefits,https://www.brandywine.psu.edu/story/1252/2013/01/25/brandywine-benefit-performance-raise-funds-abuse-prevention,0,NoContext
481,100663,Pennsylvania State University-Penn State Brandywine,increase benefits,https://www.abington.psu.edu/story/26101/2019/07/18/board-approves-second-consecutive-tuition-freeze-pennsylvania-undergraduates,0,NoContext
483,100663,Pennsylvania State University-Penn State Brandywine,faculty advancements,https://news.psu.edu/story/544182/2018/10/26/academics/brandywine-faculty-members-lend-voices-national-sustainability,0,NoContext
484,100663,Pennsylvania State University-Penn State Brandywine,faculty advancements,https://brandywine.psu.edu/news?page=8&sort=newest,0,NoContext
485,100663,Pennsylvania State University-Penn State Brandywine,faculty advancements,https://brandywine.psu.edu/content/stanton-cv,0,NoContext
482,100663,Pennsylvania State University-Penn State Brandywine,lower tuition,https://www.prepscholar.com/sat/s/colleges/penn-state-brandywine-tuition-financial-aid,0,NoContext
486,100663,Pennsylvania State University-Penn State Brandywine,faculty advancements,https://sites.psu.edu/mcreu2020/category/schreyer-honors-college/,0,NoContext
487,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,"ion    athletics                home    news          penn state has announced its list of academic promotions for tenured and tenure-line faculty.   image: 
      patrick mansell                 prom"
488,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,"mic promotions for tenured and tenure-line faculty.   image: 
      patrick mansell                 promotions in academic rank, effective july 1, 2016           may 23, 2016  the following is a list "
489,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,"n academic rank, effective july 1, 2016           may 23, 2016  the following is a list of academic promotions for tenured and tenure-line faculty members at penn state, effective july 1, 2016.  the f"
490,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,"pplied research laboratory  edward w. reutzel , applied research laboratory  following is a list of promotions for county extension educators, effective july 1:  the following individual has been prom"
491,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1," extension educator:  paula j. lucas , 4-h youth development  for a full list of fixed-term faculty promotions at penn state, click here .          related content  penn state promotions in academic r"
492,100663,Pennsylvania State University-Penn State Brandywine,promotions,https://www.brandywine.psu.edu/story/4150/2016/05/23/promotions-academic-rank-effective-july-1-2016,1,"t of fixed-term faculty promotions at penn state, click here .          related content  penn state promotions in academic rank, effective july 1, 2017 penn state announces fixed-term faculty promotio"
410,102298,East Georgia State College,reduce benefits,http://www.ega.edu/programs/bachelor_of_arts_in_fire_and_emergency_services,0,NoContext
416,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/tenured-and-tenure-track/swainsboro/,1,"wse  search  refine results  email        keyword search   keywords           broaden your search   tenured & tenure-track  1156  tenured & tenure-track, georgia  76   refine your search   faculty job"
