,index,unit_ID,school,term,url,metadata_date
54,54,102553,University of Denver,cut faculty,https://www.du.edu/admission-aid/financial-aid,No meta date
55,55,102553,University of Denver,cut faculty,https://www.du.edu/news/financial-announcement-fiscal-year-21,['2020-06-09T06:00:00-0600']
56,56,102553,University of Denver,cut faculty,https://science.du.edu/news/du-students-make-flame-challenge-final-cut,['2018-05-17T06:00:00-0600']
57,57,102553,University of Denver,cut faculty,https://www.du.edu/academics/graduate-programs,No meta date
58,58,102553,University of Denver,cut faculty,https://psychology.du.edu/,No meta date
59,59,102553,University of Denver,cut faculty,https://universitycollege.du.edu/faculty/,No meta date
60,60,102553,University of Denver,cut faculty,https://korbel.du.edu/,No meta date
61,61,102553,University of Denver,expand financial aid,https://korbel.du.edu/admission-aid/financial-aid,No meta date
62,62,102553,University of Denver,expand financial aid,https://www.du.edu/admission-aid/financial-aid-scholarships/undergraduate-financial-aid/types-aid/grants-scholarships,No meta date
63,63,102553,University of Denver,expand financial aid,https://liberalarts.du.edu/languages/give,No meta date
64,64,102553,University of Denver,expand financial aid,https://morgridge.du.edu/programs/higher-education/,No meta date
65,65,102553,University of Denver,expand financial aid,https://jobs.du.edu/cw/en-us/job/492984/interterm-program-manager,No meta date
66,66,102553,University of Denver,expand financial aid,http://advancing.du.edu/dusf/,No meta date
67,67,102553,University of Denver,expand financial aid,https://ritchieschool.du.edu/admission-aid,['2017-09-20T16:18:02+00:00']
68,68,102553,University of Denver,salary increase,https://www.du.edu/human-resources/benefits/compensation.html,No meta date
69,69,102553,University of Denver,salary increase,https://daniels.du.edu/professional-mba/,No meta date
70,70,102553,University of Denver,salary increase,https://www.du.edu/news/du-studies-impact-increasing-minimum-wage-colorado,['2016-09-13T06:00:00-0600']
71,71,102553,University of Denver,salary increase,https://www.denverpost.com/2019/06/05/du-sturm-college-of-law-pay-gap/,No meta date
72,72,102553,University of Denver,salary increase,https://socialwork.du.edu/news/category/faculty-and-staff?page=5,['2019-06-05T18:01:10+00:00']
73,73,102553,University of Denver,salary increase,https://www.law.du.edu/careers/employment-statistics,No meta date
74,74,102553,University of Denver,salary increase,https://www.insidehighered.com/news/2018/05/18/u-denver-settles-eeoc-agreeing-pay-266-million-seven-female-law-professors-who,No meta date
75,75,102553,University of Denver,salary increase,https://universitycollege.du.edu/comm/degree/masters/marketing-communication-online/degreeid/486,No meta date
76,76,102614,Pennsylvania State University-Penn State Fayette- Eberly,layoff faculty,https://fayette.psu.edu/,No meta date
77,77,102614,Pennsylvania State University-Penn State Fayette- Eberly,layoff faculty,https://agsci.psu.edu/students/advising/commonwealth-campus/advisers-campuses/fayette-the-eberly-campus,No meta date
78,78,102614,Pennsylvania State University-Penn State Fayette- Eberly,layoff faculty,https://www.psfathletics.com/,No meta date
79,79,102614,Pennsylvania State University-Penn State Fayette- Eberly,layoff faculty,https://fayette.psu.edu/academics,No meta date
